X,Y,Color
-100.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-100.0,176.0,"(0.0, 0.4, 0.8, 1.0)"
-96.0,-180.0,"(0.0, 0.4, 0.8, 1.0)"
-96.0,-176.0,"(0.4, 0.8, 0.0, 1.0)"
-96.0,-168.0,"(0.6, 0.8, 1.0, 1.0)"
-96.0,0.0,"(0.6, 0.8, 1.0, 1.0)"
-96.0,80.0,"(0.6, 0.8, 1.0, 1.0)"
-96.0,88.0,"(0.6, 0.8, 1.0, 1.0)"
-96.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-96.0,100.0,"(0.6, 0.8, 1.0, 1.0)"
-96.0,104.0,"(0.4, 0.8, 0.0, 1.0)"
-96.0,108.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,112.0,"(0.0, 0.6, 0.0, 1.0)"
-96.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,120.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,124.0,"(1.0, 0.0, 0.0, 1.0)"
-96.0,128.0,"(1.0, 0.0, 0.0, 1.0)"
-96.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,136.0,"(1.0, 0.0, 0.0, 1.0)"
-96.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,144.0,"(1.0, 0.0, 0.0, 1.0)"
-96.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-96.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,-176.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,-172.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,-4.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,0.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,4.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,60.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,64.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,80.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,84.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,96.0,"(0.0, 0.6, 0.0, 1.0)"
-92.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,104.0,"(0.0, 0.4, 0.8, 1.0)"
-92.0,108.0,"(0.0, 0.6, 0.0, 1.0)"
-92.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-92.0,116.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,120.0,"(1.0, 0.0, 0.0, 1.0)"
-92.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-92.0,176.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-88.0,-180.0,"(0.0, 0.4, 0.8, 1.0)"
-88.0,-176.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,-172.0,"(0.0, 0.6, 0.0, 1.0)"
-88.0,-168.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,-4.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,76.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,80.0,"(0.0, 0.4, 0.8, 1.0)"
-88.0,84.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,100.0,"(0.0, 0.4, 0.8, 1.0)"
-88.0,104.0,"(0.0, 0.6, 0.0, 1.0)"
-88.0,108.0,"(0.0, 0.6, 0.0, 1.0)"
-88.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-88.0,116.0,"(1.0, 0.0, 0.0, 1.0)"
-88.0,120.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,144.0,"(1.0, 0.0, 0.0, 1.0)"
-88.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-88.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,-176.0,"(0.0, 0.4, 0.8, 1.0)"
-84.0,0.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,72.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,76.0,"(0.0, 0.4, 0.8, 1.0)"
-84.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,100.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,104.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,108.0,"(0.6, 0.8, 1.0, 1.0)"
-84.0,112.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,116.0,"(0.0, 0.6, 0.0, 1.0)"
-84.0,120.0,"(0.0, 0.6, 0.0, 1.0)"
-84.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-84.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,-180.0,"(0.6, 0.8, 1.0, 1.0)"
-80.0,0.0,"(0.6, 0.8, 1.0, 1.0)"
-80.0,100.0,"(0.6, 0.8, 1.0, 1.0)"
-80.0,104.0,"(0.0, 0.6, 0.0, 1.0)"
-80.0,112.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-80.0,116.0,"(0.0, 0.4, 0.8, 1.0)"
-80.0,120.0,"(1.0, 0.0, 0.0, 1.0)"
-80.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,144.0,"(1.0, 0.0, 0.0, 1.0)"
-80.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-80.0,172.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,-24.0,"(0.0, 0.4, 0.8, 1.0)"
-76.0,-12.0,"(0.6, 0.8, 1.0, 1.0)"
-76.0,-4.0,"(0.6, 0.8, 1.0, 1.0)"
-76.0,0.0,"(0.6, 0.8, 1.0, 1.0)"
-76.0,108.0,"(0.0, 0.6, 0.0, 1.0)"
-76.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-76.0,116.0,"(0.4, 0.8, 0.0, 1.0)"
-76.0,120.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-76.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,168.0,"(0.8, 0.0, 0.0, 1.0)"
-76.0,172.0,"(0.0, 0.4, 0.8, 1.0)"
-76.0,176.0,"(0.6, 0.8, 1.0, 1.0)"
-72.0,-20.0,"(0.6, 0.8, 1.0, 1.0)"
-72.0,-16.0,"(0.6, 0.8, 1.0, 1.0)"
-72.0,108.0,"(0.6, 0.8, 1.0, 1.0)"
-72.0,120.0,"(0.0, 0.4, 0.8, 1.0)"
-72.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-72.0,168.0,"(0.6, 0.8, 1.0, 1.0)"
-72.0,172.0,"(0.0, 0.6, 0.0, 1.0)"
-68.0,-20.0,"(0.6, 0.8, 1.0, 1.0)"
-68.0,-16.0,"(0.6, 0.8, 1.0, 1.0)"
-68.0,-12.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,112.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-68.0,116.0,"(0.0, 0.4, 0.8, 1.0)"
-68.0,120.0,"(0.4, 0.8, 0.0, 1.0)"
-68.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-68.0,156.0,"(0.4, 0.8, 0.0, 1.0)"
-68.0,160.0,"(0.4, 0.8, 0.0, 1.0)"
-68.0,164.0,"(0.0, 0.6, 0.0, 1.0)"
-68.0,168.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-68.0,172.0,"(0.6, 0.8, 1.0, 1.0)"
-64.0,-20.0,"(0.6, 0.8, 1.0, 1.0)"
-64.0,116.0,"(0.6, 0.8, 1.0, 1.0)"
-64.0,120.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-64.0,124.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-64.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-64.0,148.0,"(0.0, 0.6, 0.0, 1.0)"
-64.0,152.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-64.0,156.0,"(0.4, 0.8, 0.0, 1.0)"
-64.0,160.0,"(0.6, 0.8, 1.0, 1.0)"
-64.0,164.0,"(0.0, 0.4, 0.8, 1.0)"
-60.0,92.0,"(0.6, 0.8, 1.0, 1.0)"
-60.0,116.0,"(0.6, 0.8, 1.0, 1.0)"
-60.0,120.0,"(0.4, 0.8, 0.0, 1.0)"
-60.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,128.0,"(1.0, 0.0, 0.0, 1.0)"
-60.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,136.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-60.0,140.0,"(1.0, 0.0, 0.0, 1.0)"
-60.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-60.0,148.0,"(0.0, 0.6, 0.0, 1.0)"
-60.0,152.0,"(0.4, 0.8, 0.0, 1.0)"
-60.0,156.0,"(0.6, 0.8, 1.0, 1.0)"
-56.0,-40.0,"(0.6, 0.8, 1.0, 1.0)"
-56.0,108.0,"(0.6, 0.8, 1.0, 1.0)"
-56.0,120.0,"(0.6, 0.8, 1.0, 1.0)"
-56.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-56.0,136.0,"(1.0, 0.5019607843, 0.0, 1.0)"
-56.0,140.0,"(0.0, 0.4, 0.8, 1.0)"
-56.0,148.0,"(0.6, 0.8, 1.0, 1.0)"
-56.0,168.0,"(0.6, 0.8, 1.0, 1.0)"
-52.0,-44.0,"(0.6, 0.8, 1.0, 1.0)"
-52.0,112.0,"(0.6, 0.8, 1.0, 1.0)"
-52.0,124.0,"(0.0, 0.6, 0.0, 1.0)"
-52.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-52.0,132.0,"(1.0, 0.0, 0.0, 1.0)"
-52.0,136.0,"(0.0, 0.4, 0.8, 1.0)"
-52.0,140.0,"(0.0, 0.4, 0.8, 1.0)"
-52.0,148.0,"(0.0, 0.4, 0.8, 1.0)"
-48.0,128.0,"(0.0, 0.6, 0.0, 1.0)"
-48.0,132.0,"(0.6, 0.8, 1.0, 1.0)"
-48.0,144.0,"(0.6, 0.8, 1.0, 1.0)"
-44.0,128.0,"(0.6, 0.8, 1.0, 1.0)"
28.0,-112.0,"(0.0, 0.4, 0.8, 1.0)"
28.0,-108.0,"(0.0, 0.4, 0.8, 1.0)"
60.0,-112.0,"(0.6, 0.8, 1.0, 1.0)"
68.0,-68.0,"(0.6, 0.8, 1.0, 1.0)"
68.0,160.0,"(0.6, 0.8, 1.0, 1.0)"
72.0,-112.0,"(0.6, 0.8, 1.0, 1.0)"
72.0,-68.0,"(0.6, 0.8, 1.0, 1.0)"
72.0,-64.0,"(0.6, 0.8, 1.0, 1.0)"
72.0,-60.0,"(0.6, 0.8, 1.0, 1.0)"
76.0,-64.0,"(0.6, 0.8, 1.0, 1.0)"
164.0,88.0,"(0.6, 0.8, 1.0, 1.0)"
164.0,120.0,"(0.6, 0.8, 1.0, 1.0)"
172.0,144.0,"(0.6, 0.8, 1.0, 1.0)"
176.0,148.0,"(0.6, 0.8, 1.0, 1.0)"
